counterfactual_group,target_object,sample_ids,states,gold_actions,训练前_actions,训练前_member_exact,训练前_pair_exact,训练前_same_actions,训练后_actions,训练后_member_exact,训练后_pair_exact,训练后_same_actions,comparison
shard_0_cf_0108,Drawer,shard_0_exp0_1121 | shard_0_exp0_1120,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_1697,Fridge,shard_0_exp0_10792 | shard_0_exp0_10791,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_0_cf_1755,Drawer,shard_0_exp0_10973 | shard_0_exp0_10972,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_1775,Drawer,shard_0_exp0_11054 | shard_0_exp0_11053,closed | open,"GotoLocation(DiningTable); PickupObject(Pen); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Pen,Drawer); CloseObject(Drawer) | GotoLocation(DiningTable); PickupObject(Pen); GotoLocation(Drawer); PutObject(Pen,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(DiningTable); PickupObject(Pen); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Pen,Drawer); CloseObject(Drawer) | GotoLocation(DiningTable); PickupObject(Pen); GotoLocation(Drawer); PutObject(Pen,Drawer)",1 | 1,1,0,candidate_fixed
shard_0_cf_1965,Drawer,shard_0_exp0_11615 | shard_0_exp0_11614,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_0_cf_2255,Drawer,shard_0_exp0_12382 | shard_0_exp0_12381,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_1_cf_0185,Drawer,shard_1_exp0_1921 | shard_1_exp0_1920,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_1_cf_0496,Drawer,shard_1_exp0_4727 | shard_1_exp0_4726,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_1_cf_0588,Drawer,shard_1_exp0_5536 | shard_1_exp0_5535,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_1_cf_0598,Drawer,shard_1_exp0_5615 | shard_1_exp0_5614,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_1_cf_1305,Drawer,shard_1_exp0_9281 | shard_1_exp0_9280,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_1_cf_1430,Drawer,shard_1_exp0_9682 | shard_1_exp0_9681,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer); OpenObject(Drawer),1 | 0,0,1,both_not_exact
shard_1_cf_1546,Drawer,shard_1_exp0_10118 | shard_1_exp0_10117,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_1_cf_1668,Safe,shard_1_exp0_10501 | shard_1_exp0_10500,closed | open,GotoLocation(Safe); OpenObject(Safe) | GotoLocation(Safe),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Safe); OpenObject(Safe) | GotoLocation(Safe),1 | 1,1,0,candidate_fixed
shard_1_cf_1695,Drawer,shard_1_exp0_10589 | shard_1_exp0_10588,closed | open,"GotoLocation(SideTable); PickupObject(ButterKnife); GotoLocation(Drawer); OpenObject(Drawer); PutObject(ButterKnife,Drawer); CloseObject(Drawer) | GotoLocation(SideTable); PickupObject(ButterKnife); GotoLocation(Drawer); PutObject(ButterKnife,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(SideTable); PickupObject(ButterKnife); GotoLocation(Drawer); OpenObject(Drawer); PutObject(ButterKnife,Drawer); CloseObject(Drawer) | GotoLocation(SideTable); PickupObject(ButterKnife); GotoLocation(Drawer); PutObject(ButterKnife,Drawer)",1 | 1,1,0,candidate_fixed
shard_1_cf_1703,Drawer,shard_1_exp0_10605 | shard_1_exp0_10604,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_1_cf_1714,Drawer,shard_1_exp0_10657 | shard_1_exp0_10656,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_1_cf_1808,Drawer,shard_1_exp0_10937 | shard_1_exp0_10936,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_1_cf_1849,Drawer,shard_1_exp0_11085 | shard_1_exp0_11084,closed | open,"GotoLocation(SideTable); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(SideTable); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",0 | 0,0,0,both_not_exact
shard_1_cf_2175,Drawer,shard_1_exp0_12110 | shard_1_exp0_12109,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_2_cf_0250,Drawer,shard_2_exp0_2608 | shard_2_exp0_2607,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_2_cf_0257,Drawer,shard_2_exp0_2652 | shard_2_exp0_2651,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_2_cf_0406,Fridge,shard_2_exp0_4060 | shard_2_exp0_4059,closed | open,"GotoLocation(CounterTop); PickupObject(Bread); GotoLocation(Fridge); OpenObject(Fridge); PutObject(Bread,Fridge); CloseObject(Fridge) | GotoLocation(CounterTop); PickupObject(Bread); GotoLocation(Fridge); PutObject(Bread,Fridge)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(CounterTop); PickupObject(Bread); GotoLocation(Fridge); OpenObject(Fridge); PutObject(Bread,Fridge); CloseObject(Fridge) | GotoLocation(CounterTop); PickupObject(Bread); GotoLocation(Fridge); PutObject(Bread,Fridge)",1 | 1,1,0,candidate_fixed
shard_2_cf_0549,Fridge,shard_2_exp0_5165 | shard_2_exp0_5164,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_2_cf_0899,Drawer,shard_2_exp0_7519 | shard_2_exp0_7518,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_2_cf_0937,Drawer,shard_2_exp0_7734 | shard_2_exp0_7733,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_2_cf_2021,Drawer,shard_2_exp0_11557 | shard_2_exp0_11556,closed | open,"GotoLocation(Bed); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Bed); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Bed); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Bed); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",1 | 1,1,0,candidate_fixed
shard_2_cf_2092,Drawer,shard_2_exp0_11815 | shard_2_exp0_11814,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_2_cf_2130,Drawer,shard_2_exp0_11971 | shard_2_exp0_11970,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_2_cf_2266,Drawer,shard_2_exp0_12389 | shard_2_exp0_12388,closed | open,"GotoLocation(Dresser); PickupObject(RemoteControl); GotoLocation(Drawer); OpenObject(Drawer); PutObject(RemoteControl,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(RemoteControl); GotoLocation(Drawer); PutObject(RemoteControl,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(RemoteControl); GotoLocation(Drawer); OpenObject(Drawer); PutObject(RemoteControl,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(RemoteControl); GotoLocation(Drawer); OpenObject(Drawer); PutObject(RemoteControl,Drawer); CloseObject(Drawer)",1 | 0,0,1,both_not_exact
shard_3_cf_0131,Drawer,shard_3_exp0_1316 | shard_3_exp0_1315,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_3_cf_0199,Drawer,shard_3_exp0_2064 | shard_3_exp0_2063,closed | open,"GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",1 | 1,1,0,candidate_fixed
shard_3_cf_0258,Fridge,shard_3_exp0_2518 | shard_3_exp0_2517,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge); OpenObject(Fridge),1 | 0,0,1,both_not_exact
shard_3_cf_0451,Drawer,shard_3_exp0_4239 | shard_3_exp0_4238,closed | open,"GotoLocation(Dresser); PickupObject(KeyChain); GotoLocation(Drawer); OpenObject(Drawer); PutObject(KeyChain,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(KeyChain); GotoLocation(Drawer); PutObject(KeyChain,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(KeyChain); GotoLocation(Drawer); OpenObject(Drawer); PutObject(KeyChain,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(KeyChain); GotoLocation(Drawer); PutObject(KeyChain,Drawer)",1 | 1,1,0,candidate_fixed
shard_3_cf_0555,Fridge,shard_3_exp0_5121 | shard_3_exp0_5120,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_3_cf_0564,Drawer,shard_3_exp0_5210 | shard_3_exp0_5209,closed | open,"GotoLocation(CounterTop); PickupObject(SaltShaker); GotoLocation(Drawer); OpenObject(Drawer); PutObject(SaltShaker,Drawer); CloseObject(Drawer) | GotoLocation(CounterTop); PickupObject(SaltShaker); GotoLocation(Drawer); PutObject(SaltShaker,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(CounterTop); PickupObject(SaltShaker); GotoLocation(Drawer); OpenObject(Drawer); PutObject(SaltShaker,Drawer); CloseObject(Drawer) | GotoLocation(CounterTop); PickupObject(SaltShaker); GotoLocation(Drawer); PutObject(SaltShaker,Drawer)",1 | 1,1,0,candidate_fixed
shard_3_cf_1234,Drawer,shard_3_exp0_8884 | shard_3_exp0_8883,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_3_cf_1303,Drawer,shard_3_exp0_9088 | shard_3_exp0_9087,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_3_cf_1304,Drawer,shard_3_exp0_9090 | shard_3_exp0_9089,closed | open,"GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Bed); PickupObject(Book); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Book,Drawer); CloseObject(Drawer) | GotoLocation(Bed); PickupObject(Book); GotoLocation(Drawer); PutObject(Book,Drawer)",0 | 0,0,0,both_not_exact
shard_3_cf_1720,Drawer,shard_3_exp0_10491 | shard_3_exp0_10490,closed | open,"GotoLocation(SideTable); PickupObject(KeyChain); GotoLocation(Drawer); OpenObject(Drawer); PutObject(KeyChain,Drawer); CloseObject(Drawer) | GotoLocation(SideTable); PickupObject(KeyChain); GotoLocation(Drawer); PutObject(KeyChain,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(SideTable); PickupObject(KeyChain); GotoLocation(Drawer); OpenObject(Drawer); PutObject(KeyChain,Drawer); CloseObject(Drawer) | GotoLocation(SideTable); PickupObject(KeyChain); GotoLocation(Drawer); PutObject(KeyChain,Drawer)",1 | 1,1,0,candidate_fixed
shard_3_cf_1922,Drawer,shard_3_exp0_11215 | shard_3_exp0_11214,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_3_cf_2000,Cabinet,shard_3_exp0_11481 | shard_3_exp0_11480,closed | open,GotoLocation(Cabinet); OpenObject(Cabinet) | GotoLocation(Cabinet),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Cabinet); OpenObject(Cabinet) | GotoLocation(Cabinet),1 | 1,1,0,candidate_fixed
shard_4_cf_0596,Fridge,shard_4_exp0_5548 | shard_4_exp0_5547,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_4_cf_1547,Drawer,shard_4_exp0_9999 | shard_4_exp0_9998,closed | open,"GotoLocation(Dresser); PickupObject(Pen); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Pen,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Pen); GotoLocation(Drawer); PutObject(Pen,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(Pen); GotoLocation(Drawer); OpenObject(Drawer); PutObject(Pen,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(Pen); GotoLocation(Drawer); PutObject(Pen,Drawer)",1 | 1,1,0,candidate_fixed
shard_4_cf_1788,Drawer,shard_4_exp0_10825 | shard_4_exp0_10824,closed | open,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Drawer); OpenObject(Drawer) | GotoLocation(Drawer),1 | 1,1,0,candidate_fixed
shard_4_cf_1917,Drawer,shard_4_exp0_11224 | shard_4_exp0_11223,closed | open,"GotoLocation(Dresser); PickupObject(CellPhone); GotoLocation(Drawer); OpenObject(Drawer); PutObject(CellPhone,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(CellPhone); GotoLocation(Drawer); PutObject(CellPhone,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(CellPhone); GotoLocation(Drawer); OpenObject(Drawer); PutObject(CellPhone,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(CellPhone); GotoLocation(Drawer); PutObject(CellPhone,Drawer)",1 | 1,1,0,candidate_fixed
shard_4_cf_2018,Drawer,shard_4_exp0_11553 | shard_4_exp0_11552,closed | open,"GotoLocation(KeyChain); PickupObject(KeyChain); GotoLocation(Drawer); OpenObject(Drawer); PutObject(KeyChain,Drawer); CloseObject(Drawer) | GotoLocation(KeyChain); PickupObject(KeyChain); GotoLocation(Drawer); PutObject(KeyChain,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(KeyChain); GotoLocation(Drawer); OpenObject(Drawer); PutObject(KeyChain,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(KeyChain); GotoLocation(Drawer); PutObject(KeyChain,Drawer)",0 | 0,0,0,both_not_exact
shard_4_cf_2312,Fridge,shard_4_exp0_12393 | shard_4_exp0_12392,closed | open,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),<unparseable> | <unparseable>,0 | 0,0,1,GotoLocation(Fridge); OpenObject(Fridge) | GotoLocation(Fridge),1 | 1,1,0,candidate_fixed
shard_5_cf_0261,Drawer,shard_5_exp0_2741 | shard_5_exp0_2740,closed | open,"GotoLocation(Dresser); PickupObject(CellPhone); GotoLocation(Drawer); OpenObject(Drawer); PutObject(CellPhone,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(CellPhone); GotoLocation(Drawer); PutObject(CellPhone,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(CellPhone); GotoLocation(Drawer); OpenObject(Drawer); PutObject(CellPhone,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(CellPhone); GotoLocation(Drawer); PutObject(CellPhone,Drawer)",1 | 1,1,0,candidate_fixed
shard_5_cf_0267,Drawer,shard_5_exp0_2762 | shard_5_exp0_2761,closed | open,"GotoLocation(Dresser); PickupObject(CreditCard); GotoLocation(Drawer); OpenObject(Drawer); PutObject(CreditCard,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(CreditCard); GotoLocation(Drawer); PutObject(CreditCard,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(CreditCard); GotoLocation(Drawer); OpenObject(Drawer); PutObject(CreditCard,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(CreditCard); GotoLocation(Drawer); PutObject(CreditCard,Drawer)",1 | 1,1,0,candidate_fixed
shard_5_cf_0565,Drawer,shard_5_exp0_5292 | shard_5_exp0_5291,closed | open,"GotoLocation(Dresser); PickupObject(RemoteControl); GotoLocation(Drawer); OpenObject(Drawer); PutObject(RemoteControl,Drawer); CloseObject(Drawer) | GotoLocation(Dresser); PickupObject(RemoteControl); GotoLocation(Drawer); PutObject(RemoteControl,Drawer)",<unparseable> | <unparseable>,0 | 0,0,1,"GotoLocation(Dresser); PickupObject(RemoteControl); GotoLocation(Drawer); OpenObject(Drawer); PutObject(RemoteControl,Drawer); CloseObject(Drawer) | GotoLocation(Desk); PickupObject(RemoteControl); GotoLocation(Drawer); PutObject(RemoteControl,Drawer)",1 | 0,0,0,both_not_exact
